mode,nodes,gateways,sources,area,range,speedMin,speedMax,pause,simTime,advInterval,advZone,entryLifetime,packetSize,cbrRate,seed,offered,sent,relayed,received,pdr,txPdr,gwAvail,delay_ms,noGateway,advSent,advFwd,solSent,solFwd,replies,control,gw0,gw1,malicious,droppedByMalicious,areaHeight
reactive,15,2,5,800,250,2,2,60,900,5,3,15,512,5,4,22344,22029,21212,21212,94.9338,96.2913,98.5902,5.06775,315,0,0,315,4436,542,5293,6101,15111,0,0,500
reactive,15,2,5,800,250,2,2,60,900,5,3,15,512,5,5,22346,22041,21148,21148,94.6389,95.9485,98.6351,4.89492,305,0,0,305,4461,597,5363,9749,11399,0,0,500
reactive,15,2,5,800,250,3,3,60,900,5,3,15,512,5,1,22349,22036,21382,21382,95.6732,97.0321,98.5995,4.43824,313,0,0,313,4515,593,5421,9721,11661,0,0,500
reactive,15,2,5,800,250,3,3,60,900,5,3,15,512,5,2,22347,22028,21237,21237,95.0329,96.4091,98.5725,9.09424,319,0,0,319,4626,613,5558,10984,10253,0,0,500
reactive,15,2,5,800,250,3,3,60,900,5,3,15,512,5,3,22346,22024,21457,21457,96.0217,97.4255,98.559,4.8654,322,0,0,322,4478,575,5375,10874,10583,0,0,500
reactive,15,2,5,800,250,3,3,60,900,5,3,15,512,5,4,22344,22035,20278,20278,90.7537,92.0263,98.6171,4.55142,309,0,0,309,4282,549,5140,7830,12448,0,0,500
reactive,15,2,5,800,250,3,3,60,900,5,3,15,512,5,5,22346,22020,19929,19929,89.1837,90.5041,98.5411,5.01821,326,0,0,326,4488,578,5392,12542,7387,0,0,500
reactive,15,2,5,800,250,4,4,60,900,5,3,15,512,5,1,22349,22017,21353,21353,95.5434,96.9841,98.5145,4.65167,332,0,0,332,4773,607,5712,9548,11805,0,0,500
reactive,15,2,5,800,250,4,4,60,900,5,3,15,512,5,2,22347,22046,21356,21356,95.5654,96.8702,98.6531,4.56495,301,0,0,301,4338,579,5218,11745,9611,0,0,500
reactive,15,2,5,800,250,4,4,60,900,5,3,15,512,5,3,22346,22034,21127,21127,94.5449,95.8836,98.6038,5.25902,312,0,0,312,4313,571,5196,9683,11444,0,0,500
reactive,15,2,5,800,250,4,4,60,900,5,3,15,512,5,4,22344,22029,21626,21626,96.7866,98.1706,98.5902,10.3776,315,0,0,315,4413,572,5300,8059,13567,0,0,500
reactive,15,2,5,800,250,4,4,60,900,5,3,15,512,5,5,22346,22040,21253,21253,95.1087,96.4292,98.6306,4.86012,306,0,0,306,4243,559,5108,14070,7183,0,0,500
reactive,15,2,5,800,250,5,5,60,900,5,3,15,512,5,1,22349,22025,21389,21389,95.7045,97.1124,98.5503,4.60815,324,0,0,324,4538,600,5462,8035,13354,0,0,500
reactive,15,2,5,800,250,5,5,60,900,5,3,15,512,5,2,22347,22029,21056,21056,94.2229,95.5831,98.577,4.69832,318,0,0,318,4375,564,5257,12125,8931,0,0,500
reactive,15,2,5,800,250,5,5,60,900,5,3,15,512,5,3,22346,22018,20197,20197,90.3831,91.7295,98.5322,7.23811,328,0,0,328,4614,609,5551,10380,9817,0,0,500
reactive,15,2,5,800,250,5,5,60,900,5,3,15,512,5,4,22344,22013,20800,20800,93.0899,94.4896,98.5186,16.8927,331,0,0,331,4451,584,5366,7912,12888,0,0,500
reactive,15,2,5,800,250,5,5,60,900,5,3,15,512,5,5,22346,21962,20859,20859,93.3456,94.9777,98.2816,5.00867,384,0,0,384,4400,578,5362,12707,8152,0,0,500
reactive,15,2,5,800,250,6,6,60,900,5,3,15,512,5,1,22349,21898,20616,20616,92.2457,94.1456,97.982,7.68612,451,0,0,451,5964,797,7212,7089,13527,0,0,500
reactive,15,2,5,800,250,6,6,60,900,5,3,15,512,5,2,22347,22035,21472,21472,96.0845,97.445,98.6038,6.72635,312,0,0,312,4258,554,5124,11216,10256,0,0,500
reactive,15,2,5,800,250,6,6,60,900,5,3,15,512,5,3,22346,21961,21360,21360,95.5876,97.2633,98.2771,5.0833,385,0,0,385,4291,533,5209,12953,8407,0,0,500
reactive,15,2,5,800,250,6,6,60,900,5,3,15,512,5,4,22344,22029,21337,21337,95.4932,96.8587,98.5902,11.2042,315,0,0,315,4039,522,4876,7323,14014,0,0,500
reactive,15,2,5,800,250,6,6,60,900,5,3,15,512,5,5,22346,22039,21573,21573,96.5408,97.8856,98.6262,4.69339,307,0,0,307,4260,571,5138,12417,9156,0,0,500
hybrid,15,2,5,800,250,1,1,60,900,5,3,15,512,5,1,22349,22347,21486,21486,96.1385,96.1471,99.9911,4.29785,2,360,2650,2,23,3,3038,8980,12506,0,0,500
hybrid,15,2,5,800,250,1,1,60,900,5,3,15,512,5,2,22347,22346,22234,22234,99.4943,99.4988,99.9955,4.65387,1,360,2578,1,15,2,2956,10660,11574,0,0,500
hybrid,15,2,5,800,250,1,1,60,900,5,3,15,512,5,3,22346,22344,22310,22310,99.8389,99.8478,99.991,4.79033,2,360,2390,2,30,4,2786,11152,11158,0,0,500
hybrid,15,2,5,800,250,1,1,60,900,5,3,15,512,5,4,22344,22333,21567,21567,96.5226,96.5701,99.9508,5.0069,11,360,2514,11,157,11,3053,8583,12984,0,0,500
hybrid,15,2,5,800,250,1,1,60,900,5,3,15,512,5,5,22346,22346,22321,22321,99.8881,99.8881,100,4.96701,0,360,2672,0,0,0,3032,15794,6527,0,0,500
hybrid,15,2,5,800,250,2,2,60,900,5,3,15,512,5,1,22349,22000,21554,21554,96.4428,97.9727,98.4384,4.70498,349,360,2397,349,1131,38,4275,8596,12958,0,0,500
